"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Capitalism and the sea: Sovereignty, territory and appropriation in the global ocean:","https://scispace.com/paper/capitalism-and-the-sea-sovereignty-territory-and-1um83u51d8","2018","Journal Article","Environment and Planning D-society & Space","Liam Campling
Alejandro Colas","10.1177/0263775817737319","https://scispace.com/pdf/capitalism-and-the-sea-sovereignty-territory-and-1um83u51d8.pdf","This paper introduces the term ‘terraqueous territoriality’ to analyse a particular relationship between capitalism as a social formation, and the sea as a natural force It focuses on three spaces – exclusive economic zones (EEZs), the system of ‘flags of convenience’ (FOC), and multilateral counter-piracy initiatives – as instances of capitalist states and firms seeking to transcend the geo-physical difference between firm land and fluid sea Capital accumulation, it is argued here, seeks to territorialise the sea through forms of sovereignty and modes of appropriation drawn from experiences on land, but in doing so encounters particular tensions thereby generating distinctive spatial effects By exploring the articulation between sovereignty, territory and appropriation in the organisation of spaces where land meets sea, the article seeks to demonstrate the value of an analytical framework that underlines the terraqueous nature of contemporary capitalism","In this paper, the authors introduce the term terraqueous territoriality to analyse a particular relationship between capitalism as a social formation, and the sea as a natural force, and explore the articulation between sovereignty, territory and appropriation in the organisation of spaces where land meets sea."
"Turbulent Waters in Three Parts","https://scispace.com/paper/turbulent-waters-in-three-parts-4ojye4chji","2021","Journal Article","Theory and Event","Jessica Lehman
Philip E. Steinberg
Elizabeth R. Johnson","10.1353/TAE.2021.0007","https://scispace.com/pdf/turbulent-waters-in-three-parts-4ojye4chji.pdf","While scientific accounts of ocean dynamics draw public attention to the turbulence of earthly matter, the science alone tells a truncated story. The ocean's turbulent materiality is more than material: practices of scientific knowledge and historically embedded meanings and metaphors also constitute how we know, understand, and attempt to govern ocean and land alike. Indeed, planetary ocean science is always located within a history and politics, embedded within Western epistemic structures and tied to extraction and colonialism. Additionally, as ocean ecologies and human food systems are recognized as ever more fragile and as the ocean increasingly is understood as ""up for grabs"" as a site of investment, extraction, and production, there is much at stake in how and where we locate the turbulence of marine systems.

In this essay, we invite turbulence into our writing practices by bringing together three perspectives on the complex relationship between metaphor and materiality with regard to oceanic worlds. Each co-author writes on the ocean from a different perspective: the lines and laws of the ocean (Steinberg); the governance and epistemic cultures of ocean life (Johnson); and practices of marine historical knowledge production (Lehman). Throughout this essay we experiment with bringing those perspectives together to consider how turbulence matters differently when read through different lineages of theory and ocean scholarship: How do legal infrastructures, scientific apparatuses, human histories, and marine lifeforms tell different stories of the ocean and its processes? We further consider how thinking across our different projects might bring to light not only the turbulence of ocean matter, but also practices of knowledge production and meaning as we envision various futures of and with the ocean.","The ocean's turbulent materiality is more than material: practices of scientific knowledge and historically embedded meanings and metaphors also constitute how we know, understand, and attempt to govern ocean and land alike."
"Assembling ocean life: more-than-human entanglements in the Blue economy","https://scispace.com/paper/assembling-ocean-life-more-than-human-entanglements-in-the-4omrqyx5a2","2017","Journal Article","Dialogues in human geography","Christopher Bear","10.1177/2043820617691635","https://scispace.com/pdf/assembling-ocean-life-more-than-human-entanglements-in-the-4omrqyx5a2.pdf","While welcoming the intervention of Winders and Le Heron as opening up a space for critical – and practical – engagement with so-called ‘Blue Economy’ thinking, their employment of assemblage approaches could be extended. Doing so might produce a different conceptualisation of the blue economy, while concurrently establishing new challenges for blue economic practices. In this commentary, I focus on three key areas: 1) the ontological separation of land and sea and the conceptualisation of ‘marine space’; 2) the ‘liveliness’ of oceans; and 3) practical possibilities for Blue Economy policies to draw on and engage with ‘wet ontologies’. I argue that future geographical research on the Blue Economy would benefit from moving away from categorisations of the ‘ecological’ or ‘bio’ and towards a fuller engagement with the diversity of actants and forces that contribute to the emergence of new practices, policies and (de)territorialisations.","In this paper, the ontological separation of land and sea and the conceptualisation of ""marine space"" are discussed, as well as the liveliness of oceans and the practical possibilities for blue economy policies to draw on and engage with ""wet ontologies""."
"Creating Space for Community in Marine Conservation and Management: Mapping “Communities-at-Sea”","https://scispace.com/paper/creating-space-for-community-in-marine-conservation-and-16qh216yeo","2017","Book Chapter","","Kevin St. Martin
Kevin St. Martin
Julia Olson","10.1016/B978-0-12-805375-1.00007-6","","“Communities-at-sea” is an approach that defines actual spaces at sea where we can document the presence of community as it relates to fisheries (e.g., shared ecological knowledge, history and culture, common fishing grounds and practices, and coproduced adaptations and innovations). It differs from social science approaches that have until now focused on community as a shore-side phenomenon largely divorced from the actions and practices of fishing offshore and, importantly, from the ecological systems within which such actions and practices occur. Communities-at-sea foregrounds a host of scalable variables that we might understand as expressions of community processes and practices corresponding to fishers’ lived experiences. We specify the concept of communities-at-sea and its technical manifestation. We then demonstrate how it can be used to document change over time as it relates to the fate of fishing communities, to integrate knowledge of community processes and practices into fisheries and ecosystem analyses and modeling, and to expand community beyond its association with only local concerns to a region-wide foundation for analysis and action. We are hopeful that communities-at-sea might contribute to the interdisciplinary and creative work by scientists, managers, and communities themselves that will be needed to effectively address the challenges of the Anthropocene.","Communities-at-sea as discussed by the authors is an approach that defines actual spaces at sea where we can document the presence of community as it relates to fisheries (e.g., shared ecological knowledge, history and culture, common fishing grounds and practices, and coproduced adaptations and innovations)."
"The ocean in excess: Towards a more-than-wet ontology:","https://scispace.com/paper/the-ocean-in-excess-towards-a-more-than-wet-ontology-2xxu9biv2a","2019","Journal Article","Dialogues in human geography","Kimberley Peters
Philip E. Steinberg","10.1177/2043820619872886","https://scispace.com/pdf/the-ocean-in-excess-towards-a-more-than-wet-ontology-2xxu9biv2a.pdf","This article builds upon previous assertions that the ocean provides a fertile environment for reconceptualising understandings of space, time, movement and experiences of being in a transformative...","In this article, the authors build upon previous assertions that the ocean provides a fertile environment for reconceptualising understandings of space, time, movement and experiences of being in a transformative..."
"Navigating to Multiple Horizons: Toward a Geography of Ocean-Space","https://scispace.com/paper/navigating-to-multiple-horizons-toward-a-geography-of-ocean-3k0293oclc","1999","Journal Article","The Professional Geographer","Philip E. Steinberg","10.1111/0033-0124.00172","","While the ocean traditionally has attracted little attention within geography, we are now entering an era when marine research is increasingly technologically feasible and, at the same time, human interactions with ocean-space are ever more intense and complex. In response to these changes, a number of geographers ranging from critical development theorists to scholars of global environmental change to biogeographers have turned their attention to the study of marine areas. This article (and the articles that follow in this focus section) brings the ocean to the attention of human and physical geographers, both as an object of study in its own right and as a space for interpreting global social and physical processes and developing geographic techniques that span the land-sea divide.","The ocean has attracted little attention within geography, while human interactions with ocean-space are ever more intense and complex as discussed by the authors, and a number of geographers ranging from critical development theorists to scholars of global environmental change to biogeographers have turned their attention to the study of marine areas."
"Reflections on social experiences in maritime communities : the portuguese case in the early modern age : specificity or globalisation of a group profile?","https://scispace.com/paper/reflections-on-social-experiences-in-maritime-communities-4659949mb8","2000","","","Amélia Polónia","","https://scispace.com/pdf/reflections-on-social-experiences-in-maritime-communities-4659949mb8.pdf","Social history of maritime communities – some epistemological issues The paper aims to present some epistemological reflections to sustain a possible research model on social approaches on maritime societies. Maritime history, European or Portuguese, has been centred on approaches which gave prevalence to the study of techniques, nautical knowledge, navigations, seafarer, warfare, shipping, and economic dynamics, mostly trade nets, in an internal, international and overseas point of view. Even if last years the Portuguese academic researchers produced some valuable works on maritime history, there aren’t enough contributes which promoted a social approach on maritime communities and societies. Even if some specific maritime communities, mostly those of fishermen, have been object of anthropological and historical enquires, they are mostly centred on modern or recent history, and don’t answer necessarily to Early modern contextual problems nor are pertinent and applicable to broaden maritime extracts. From an historical point of view, facing the problematic of social dynamics in seaport societies is not an easy task. There isn’t any approaching model, neither one only performance profile or one only picture of social relations in seaports societies. In the same way that seaport studies require a previous classification of seaport typologies, and its inclusion in seaport hierarchies, also the discussion on social dynamics implies a previous call of attention that underline the specificity and even the objective differences between maritime realities.","In this paper, the authors present some epistemological reflections to sustain a possible research model on social approaches on maritime societies, which is not an easy task from an historical point of view, facing the problematic of social dynamics in seaport societies."
"The coasts we live in: can there be a single definition for a coastal zone?","https://scispace.com/paper/the-coasts-we-live-in-can-there-be-a-single-definition-for-a-hhgjt4hoofw9","","","","A. S. Mikhaylov
A. P. Plotnikova","10.5922/2079-8555-2021-4-3","","Throughout the history of humankind, people have settled along seashores. The gradual accumulation of population and industrial activity in coastal areas has created preconditions for coastalisation - the movement of people and socio-economic activity to marine coasts. To date, coastal areas have a higher rate of economic development, fostering migration and an influx of capital across the globe. Scholars and policymakers voice concerns about the asymmetry of regional development and the increasing anthropogenic impact on the coastal ecosystem. It reinforces the importance of coastal zone management. In this study, we use an example of the Baltic region to identify the coastalisation patterns in the Baltic region and answer the question, whether there can be a single definition of the coastal zone of the Baltic region. According to a broad definition, the Baltic macro-region is nearly all coastal and, consequently, all settlements are influenced by the coastalisation effect. We have studied urban population dynamics in 128 cities of 45 coastal regions through the lens of various characteristics of a coastal city - the distance from the sea (10, 50, 100, and 150 km), location in a coastal region (NUTS 2), availability of a port and its primary maritime activity (tankers, cargo, fishing, passenger, recreational vessels and others). The research results suggest that despite the strong coherence of the Baltic region countries, there should not be a single delimitation approach to defining the coastal zone. Overall, the most active marine economic processes occur in the zone up to 10 km from the seacoast and 30 km from ports and port infrastructure. However, in the case of Sweden, Poland, and Latvia, the coastal zone can be extended to 50 km, and in Germany - up to 150 km inland.","This study examines coastalisation patterns in the Baltic region, analyzing urban population dynamics in 128 cities across 45 coastal regions, and concludes that a single definition of the coastal zone is not feasible due to varying economic and geographical characteristics."
"Governing Maritime Space: The South China Sea as a Mediterranean Cultural Area 1","https://scispace.com/paper/governing-maritime-space-the-south-china-sea-as-a-umlcli3qqc","2014","Journal Article","Social Science Research Network","Hans-Dieter Evers
Hans-Dieter Evers","10.2139/SSRN.2485748","https://scispace.com/pdf/governing-maritime-space-the-south-china-sea-as-a-umlcli3qqc.pdf","Whereas many institutions are in place to govern urban and rural land, maritime areas are less well covered. This situation of a “governance void” has led to uncertainty and conflicts. Thus the South China Sea has become a contested maritime space. In this paper the cultural theory of Oswald Spengler will be applied to stress the importance of conceptions of space as a basis for maritime governance. By comparing it to other maritime spaces, like the Baltic and the Mediterranean Sea, lessons will be drawn from the “longue duree” of history, as analysed by French historian Fernand Braudel. Embedded in this larger theoretical framework special attention will be placed on the Malay and Javanese Nusantara conception of maritime space and its implication for governing the South China Sea.","In this paper, the cultural theory of Oswald Spengler is applied to stress the importance of conceptions of space as a basis for maritime governance, and special attention is placed on the Malay and Javanese Nusantara conception of maritime space and its implication for governing the South China Sea."
"Lines in the ocean: thinking with the sea about territory and international law","https://scispace.com/paper/lines-in-the-ocean-thinking-with-the-sea-about-territory-and-cp06z9s15l","2016","Journal Article","London Review of International Law","Henry Jones","10.1093/LRIL/LRW012","https://scispace.com/pdf/lines-in-the-ocean-thinking-with-the-sea-about-territory-and-cp06z9s15l.pdf","This article considers how space is constructed, ordered and controlled at sea. Foregrounding the sea in this way raises new questions about the relation between international law, physical space and human mobility.","In this article, the authors consider how space is constructed, ordered and controlled at sea, and how the sea can be foregrounded to reveal the relation between international law, physical space and human mobility."
"Maritime Cultural Landscapes, Maritimity and Quasi Objects","https://scispace.com/paper/maritime-cultural-landscapes-maritimity-and-quasi-objects-4umqfuk7ag","2010","Journal Article","Journal of Maritime Archaeology","David Berg Tuddenham","10.1007/S11457-010-9055-0","","Does the concept of maritime cultural landscapes bridge a division between land and sea, or does it maintain a gap that perhaps doesn’t even exist? This paper discusses maritime and maritime cultural landscapes as phenomena in the light of Actor Network Theory, where maritimity is given attention as a derivation of the modern metaphysics as described by Bruno Latour. The paper makes use of a case study from Norwegian Cultural Heritage Management (CHM), where land and sea archaeologists meet each other in a joint venture project at the island of Smola, More & Romsdal County.","The authors discusses maritime and maritime cultural landscapes as phenomena in the light of Actor Network Theory, where maritimity is given attention as a derivation of the modern metaphysics as described by Bruno Latour."
"The sea as a lifestyle: (Im)mobilities, liminality, and life course transitions among permanently settled sailors in the Azores (Portugal)","https://scispace.com/paper/the-sea-as-a-lifestyle-im-mobilities-liminality-and-life-53a8ycnefe","2021","Book Chapter","","Dora Sampaio","10.1007/978-3-030-77466-0_3","","Drawing on qualitative research with a group of older foreign sailors settled in the Azores islands, this chapter argues that to improve our understanding about (im)mobility choices we need an analytical lens that captures the fluidity and liminality of these migration projects. I suggest that a life course perspective can do exactly that, for it illuminates how such lifestyles are constituted over the life course and how individuals chose to settle in the Azores after long periods of living on the sea. I build on Glick Schiller and Salazar’s (2013) ‘regimes of mobility’ framework and Van Gennep’s (1960) work on liminality to discuss processes of (im)mobility in relation to life course transitions. The interlocutors in the Azores frame their settlement in the islands within broader life negotiations, bodily changes, and a desire for place attachment. In face of critical life transitions and detrimental health changes, the imaginaries and place-identity attached to the Azores represent a connecting and negotiating platform that embodies feelings of freedom and rootedness.","In this paper, a group of older foreign sailors settled in the Azores islands were interviewed to understand why they chose to settle in the islands after long periods of living on the sea."
"High Tide and Undertows: Filipino Seafarers between the Paradoxes of Development and Imagination","https://scispace.com/paper/high-tide-and-undertows-filipino-seafarers-between-the-9hizw6vacf","2015","","","Valentin M. Mendoza","","","This article explores the disparities in the seafaring industry of the Philippines through the alternative notion of social imaginaries. Modern theories still rely on the pseudo-rationality, or the pretension of giving answers to all problems of societies only through rationality. Instead, the elucidation of Castoriadis considers common knowledge or social imaginaries, instituted through real facts, generalizations, dreams and desires of common individuals as fundamental to understand social dynamics. The capitalist imaginary of today’s society succeeds in the adherence of people to this dominant institution of society as individuals seek to reach the promise of progress. However, the same capacity of imagination leads individuals, in this case Filipino maritime students and seafarers, to face their problems, and in doing so, they defy the dominant imaginary and create better possibilities for their lives through social conceptions and practices otherwise dismissed as nonsense or deviant. These social practices lean on indigenous imaginaries and are normally despised by rationality, yet, they are considered a social therapy that humanizes the brutality of neoliberal capitalism.","This article explored the disparities in the seafaring industry of the Philippines through the alternative notion of social imaginaries, and found that the same capacity of imagination leads individuals, in this case Filipino maritime students and seafarers, to face their problems and in doing so, they defy the dominant imaginary and create better possibilities for their lives through social conceptions and practices otherwise dismissed as nonsense or deviant."
"The Confined Sea and the Wavering of Sovereignty","https://scispace.com/paper/the-confined-sea-and-the-wavering-of-sovereignty-7uhbci3pyf20","","","","Maurizio Albahari","10.4324/9781003200611-14","","The chapter focuses on the ambivalent role of the sea in the regulation of human mobility, with emphasis on the Mediterranean case. On the one hand, the sea is conscripted into the grandiose project to regulate mobility and allocate rights: This is the sovereign ambition to confine it, possess it and domesticate it as a means to exclusionary and neo-colonial ends. On the other hand, culturally and historically, the sea is also a vector for the very crossings constituting the diverse societies around its shores. Thus, the sea is a critical site for the analytical and political engagement of the tension between human equality and the violently unequal allocation of territorialized rights.","This chapter examines the Mediterranean Sea's ambivalent role in regulating human mobility, highlighting its dual function as a tool for exclusionary control and a vector for cultural exchange and societal diversity, with implications for human equality and territorialized rights."
"Towards a more-than-sea geography: exploring the relational geographies of superrich mobility between sea, superyacht and shore in the Cote d'Azur","https://scispace.com/paper/towards-a-more-than-sea-geography-exploring-the-relational-jxj9puc9k3","2014","Journal Article","Area","Emma Spence","10.1111/AREA.12101","","Geographies of the sea are no longer a marginal concern in the discipline but are increasingly diverse, encompassing connections, relationalities and materialities that transcend typical human–non-human, wet–dry boundaries. Thus, as studies of the sea become progressively varied, it is necessary to move beyond justifying why we should look at the sea, and towards establishing how, ontologically, geographies of the sea can be done. In response, I present a more-than-sea geography. A more-than-sea geography not only views the maritime in terms of the sea's connections and divides, but also in terms of the diffuse relations that emerge when we view the sea from the sea itself. Drawing on ongoing ethnographic fieldwork of superrich mobility at sea, I identify relational processes within and between sea, ship and shore that shape and are shaped by those who live, work and vacation on board superyachts. Tracing the mobility of the luxury superyacht presents a unique opportunity to identify the more-than-sea relationalities and hyper-mobilities of the superrich, while identifying potential areas of enquiry that can be further informed by a more-than-sea framework.","In this article, a more-than-sea geography of the sea is presented, where the authors identify relational processes within and between sea, ship and shore that shape and are shaped by those who live, work and vacation on board superyachts."
"Maritime Justice: Socio‐Legal Perspectives on Order‐Making at Sea","https://scispace.com/paper/maritime-justice-socio-legal-perspectives-on-order-making-at-jg3u1nctvur7","","","","Jessica Larsen","10.17645/oas.9331","","Illicit maritime activities generate significant scholarly and policy attention. While diverse in nature, governance responses share many regulatory features. This introduction advances the notion of maritime justice, a socio‐legal research agenda. Different from broader maritime security studies, it places law at the centre of the inquiry, studying maritime governance practices through the lens of regulation. Empirically, it covers operational, spatial, and structural junctions between illicit maritime activity and regulatory responses deriving from international and domestic law. Analytically, it is heterogeneous but holds a methodological commitment to studying everyday law enforcement practices of maritime security governance to disentangle its meanings and effects. The introduction posits the junction between illicit maritime activities and regulatory responses as a productive space to study the varied norms that shape order‐making at sea, and vice versa.","This research introduces ""maritime justice"" as a socio-legal agenda, focusing on law's role in maritime governance, examining regulatory responses to illicit activities through the lens of international and domestic law, and everyday law enforcement practices."
"The Ship in Geography and the Geographies of Ships","https://scispace.com/paper/the-ship-in-geography-and-the-geographies-of-ships-39mxcrenes","2012","Journal Article","Geography Compass","William Hasty
Kimberley Peters","10.1111/GEC3.12005","","Although interest in the maritime world has been growing steadily within human geography over the past decade, the ship remains a largely neglected figure in its own right. In spite of facilitating the emergence of modern geographical study and being bound intricately to the movement of ideas, goods and people around the globe, past and present, the ship is an elusive, often invisible, and largely forgotten space. In this paper we seek to move the ship from the margins to the centre of geographical research. To do so, we firstly explore the potential of the ship for making geographical knowledge and as a means of understanding the world. We then go on to review studies from within the discipline and also from further afield which employ the ship as a vehicle for knowing and understanding colonialism, commerce, trade and conflict; embodied and resistant performances, and residual materiality, demonstrating the place of the ship in geography. We then contend that the ship could have a greater role in the discipline if it were not only utilised to make empirical and theoretical inroads in relation to broader geographic themes, but if it were the focus of study itself. Here we argue that geographies of ships would allow scholars the opportunity to reframe the history of the discipline, whilst also raising new questions and lines of enquiry relating to mobilities and more-than-human geographies, enriching wider academic projects beyond the discipline through employing the ship as a vehicle for novel empirical examinations.","In this paper, the authors argue that geographies of ships would allow scholars the opportunity to reframe the history of the discipline, whilst also raising new questions and lines of enquiry relating to mobilities and more-than-human geographies, enriching wider academic projects beyond the discipline through employing the ship as a vehicle for novel empirical examinations."
"Oceanic Topographies: Routes, Ships, Voyagers","https://scispace.com/paper/oceanic-topographies-routes-ships-voyagers-xotgvdbcqcvj","","","","Gesa Mackenthun","10.1163/9789401211048_005","","World history has notoriously been written in terms of nations and continents, relegating maritime zones to little relevant attachments of mainland areas. While oceans have often been seen as symbolically full but historically empty sites, this essay asks for a revision of our view of oceans as social and geographical sites. It invites the reader to regard ships not predominantly as romantic symbols of unfulfilled desire but as social spaces and sites of historical conflict and change, and it looks at maritime travelers in the era of colonialism as socially and culturally protean figures - personalities in constant transit.","This essay reconsiders the role of oceans in world history, shifting focus from mainland-centric narratives to maritime zones as social and geographical sites of conflict, change, and cultural exchange, reevaluating ships and travelers as complex, dynamic entities."
"Sailing and Insight Reproduction of Geo-Socio-Cultural Unity of Nusantara/Indonesia Maritime: A Study Focus of Maritime Anthropology","https://scispace.com/paper/sailing-and-insight-reproduction-of-geo-socio-cultural-unity-d2ev4mdp7auc","","","","Munsi Lampe","10.31947/etnosia.v6i2.19339","","This paper aims to explain how Indonesia was conceptualized as the Indonesian Maritime Continent. From a geo-social perspective, maritime culture can be viewed in, three major dimensions. First, Indonesia is one of the largest archipelagic countries in the world with all the geographical potential, invaluable marine, and maritime resources; second, the potential for socio-cultural, socio-demographic, socio-economic, and long maritime cultural history within the framework of the unity of the Republic of Indonesia; and third, the existence of academic core and the maritime vision of Unhas, the idea of the Indonesian Maritime Continental Development which was launched by the government in 1995/1996, and the vision of maritime national development by President Joko Widodo marked the role of academics and governments in the dynamic process of development to the phase of maritime civilization in the future. In the context of developing maritime ethnographic studies and anthropological contributions to the development of maritime civilization in the future, ideas and academic commitment are needed to make the Indonesian Archipelagic State a large and unique area of maritime socio-cultural research development in the world and Southeast Asia in particular. Thus, interdisciplinary, transdisciplinary, comparative, and multidisciplinary research is needed to carry out broadly and intensively. For this reason, through my inauguration speech for Professor of Anthropology in Hasanuddin University, I introduced a focus of maritime anthropology studies on sailing experiences and the reproduction of Nusantara/Indonesian maritime geo-socio-cultural insights. Through the application of the concept of experience and reproduction of maritime geo-socio-cultural insights which were developed from the concept of maritime ethos disposition theory of reproduction from A.H.J. Prins as a mode of description and analysis, I found the categories of maritime cultural insights and attitudes of Indonesian sailors. They understand most of the territorial waters of the Nusantara (archipelago) and the resources within as common property, a space for interaction between groups of sailors who are diverse in their maritime ethnicity and culture, which in turn strengthens awareness and recognition of the unity of the homeland, culture, and nation that is Bhinneka Tunggal Ika (unity in diversity).","This study explores Indonesia's maritime culture through a geo-social perspective, focusing on sailing experiences and the reproduction of Nusantara/Indonesian maritime geo-socio-cultural insights, highlighting unity and diversity in the archipelago's territorial waters and resources."
"Morska Przestrzeń Turystyczna","https://scispace.com/paper/morska-przestrzen-turystyczna-yzkt88lxrcbo","","","","Leszek Butowski","10.18778/0867-5856.24.1.06","","Celem artykułu jest charakterystyka i wyjaśnienie procesów zmian zachodzących w obrębie akwenów morskich (wraz z bezpośrednio przylegającymi do nich strefami wybrzeży) jako obszarów spełniających kryteria współczesnej przestrzeni turystycznej. Przedstawiono ewolucję przestrzeni morskiej w kierunku wykształcenia się morskiej przestrzeni turystycznej, wyróżniono i scharakteryzowano typy morskiej przestrzeni turystycznej (w skali globalnej) ze względu na rodzaje turystyki żeglarskiej. Omówiono jej główne uwarunkowania geograficzno-strukturalne oraz formy zagospodarowania (ze szczególnym uwzględnieniem stref przybrzeżnych). W sensie przestrzennym analiza objęła także obszary nadmorskie, ale tylko jako tereny związane funkcjonalnie z akwenami morskimi. Całość analizy została przeprowadzona z perspektywy morskiej turystyki żeglarskiej.","This study characterizes and explains the evolution of marine spaces into tourist areas, identifying and describing global types of marine tourist spaces based on sailing tourism, and analyzing their geographical, structural, and spatial conditions."
"Oceans of world history: delineating aquacentric notions in the global past","https://scispace.com/paper/oceans-of-world-history-delineating-aquacentric-notions-in-s25duzn1zd","2004","Journal Article","History Compass","Rainer F. Buschmann","10.1111/J.1478-0542.00068","","This article presents various ocean- and sea-centered approaches to world history. Utilizing European transoceanic empires as a point of departure, the paper scrutinizes the emergence of “aquacentric” notions among selected global societies. The diasporas of African, Greek, and Polynesian peoples offer important pointers to unravel the global past. These pointers provide novel perspectives on the histories of the Atlantic, Indian, and the Pacific oceans. The article concludes with teaching and theoretical suggestions that derive from such aquacentric systems.","In this article, the emergence of aquacentric notions among selected global societies has been examined using European transoceanic empires as a point of departure, and various ocean-and sea-centered approaches to world history have been presented."
"A Janus-faced Sea: Contrasting Perceptions and Experiences of the Mediterranean","https://scispace.com/paper/a-janus-faced-sea-contrasting-perceptions-and-experiences-of-2doytfav6b","2004","","","H.G.G.M. Driessen","","","This article makes a plea for more systematic attention in maritime anthropology to the under researched topic of how people perceive and relate to the sea. More specifically, it deals with different perceptions and experiences of the Mediterranean. At its core is an account told by a clandestine Moroccan immigrant about his experience of crossing the Strait of Gibraltar. The agonistic image of the sea arising from this contemporary narrative is discussed against the historical background of changing attitudes towards the sea and contrasted to the tourist image of a benevolent Mediterranean that has become so pervasive over the past fifty years.","This article made a plea for more systematic attention in maritime anthropology to the under-studied topic of how people perceive and relate to the sea and dealt with different perceptions and experiences of the Mediterranean."
"Oceans of world history: delineating aquacentric notions in the global past","https://scispace.com/paper/oceans-of-world-history-delineating-aquacentric-notions-in-xbwsyedus3s2","","","","Rainer F. Buschmann","10.1525/9780520964297-027","","AbstractThis article presents various ocean‐ and sea‐centered approaches to world history. Utilizing European transoceanic empires as a point of departure, the paper scrutinizes the emergence of “aquacentric” notions among selected global societies. The diasporas of African, Greek, and Polynesian peoples offer important pointers to unravel the global past. These pointers provide novel perspectives on the histories of the Atlantic, Indian, and the Pacific oceans. The article concludes with teaching and theoretical suggestions that derive from such aquacentric systems.","This article explores ocean-centered approaches to world history, examining how European transoceanic empires and diasporas of African, Greek, and Polynesian peoples shaped global pasts, offering novel perspectives on the Atlantic, Indian, and Pacific oceans."
"Mari connessi","https://scispace.com/paper/mari-connessi-di8r9xj8bwtd","","","","Michael North","10.36253/978-88-6453-857-0.02","","Following Fernand Braudel’s Méditerranée, historians interpreted the Mediterranean, Baltic, Atlantic, Indian Ocean or Pacific as closed maritime systems, consisting of multiple micro-environments. This essay seeks to overcome these limited perspectives and to examine, how the various seas and oceans were connected by the Vikings, the Cairo Genizah merchants and the Italian trading companies of the Middle Ages. The second part of my article “Connected Seas” examines the perception and memory of the seas as an element of maritime connectivity. It introduces the concept of realm of memory (lieu de mémoire) into maritime history and tests it in four case studies on the Sound, the Straits of Gibraltar, the Dardanelles and the Straits of Malacca.","This essay reconsiders the Mediterranean and other seas as interconnected maritime systems, examining how the Vikings, Cairo Genizah merchants, and Italian trading companies facilitated connectivity, and introduces the concept of ""realm of memory"" in maritime history through four case studies."
"The Maritime Mindset: A Conceptual and Practical Exploration of Mapping Port Cities","https://scispace.com/paper/the-maritime-mindset-a-conceptual-and-practical-exploration-eqovt4d2zblr","","","","Hilde Sennema
Vincent Baptist
Tianchen Dai
Yingying Gan
Yvonne van Mil
Thomas van den Brink
Carola Hein","10.6092/issn.2612-0496/14141","","Centuries of trade have left their traces in the culture and society of port cities. This paper explores the usefulness of the concept “maritime mindset” to recognize these traces, and analyses it from different disciplinary perspectives. In the second part, it proposes the practice of “deep mapping” as a methodology of identifying and documenting expressions of maritime culture and trade in public space. In conclusion, it addresses some questions that are crucial when addressing a maritime mindset, such as whether it is a top-down or bottom-up mindset, which spatial scale it entails, and whose values and interests the mindset represents. Ultimately, we argue that (deep) mapping can play a role in producing a more layered spatial, social and cultural understanding of the complex nature of port cities.","This paper explores the ""maritime mindset"" concept to recognize cultural and societal traces of centuries-old trade in port cities, proposing ""deep mapping"" as a methodology to identify and document maritime culture and trade expressions in public space."
"Culture, Ethnography, and Marine Affairs","https://scispace.com/paper/culture-ethnography-and-marine-affairs-294z4vyfmg","1983","Journal Article","Coastal Management","Marc L. Miller","10.1080/08920758309361925","","Marine and coastal zone policy represents a collaboration of people managing and people managed. This paper takes a holistic stance in suggesting that marine communities are viewed properly as networks of focused interest groups, policymakers, professionals, and publics. The interplay between culture and marine and coastal policy is appropriately one topic of applied social research. Seven ethnographic studies in this domain are introduced in this theme issue and help us to understand sociocultural processes and institutions bearing on marine affairs.","In this paper, the authors take a holistic stance in suggesting that marine communities are viewed properly as networks of focused interest groups, policymakers, professionals, and publics, and help us understand sociocultural processes and institutions bearing on marine affairs."
"Interactions Between Sociology as A Discipline and Maritime Industries and Related Pursuits with Special Reference to The South China Sea Coast","https://scispace.com/paper/interactions-between-sociology-as-a-discipline-and-maritime-377eorunjx","2024","Journal Article","Advances in Social Sciences Research Journal","Feng Hai-ying
Victor R. Squires","10.14738/assrj.115.17064","","Sociology is the systematic study of social behaviour and human groups. It focuses primarily on the influence of social relationships upon people’s attitudes and behaviour and on how societies are established and change. As a field of study, sociology has a very broad scope. For the purposes of this commentary, there will be a narrowing to embody the key interactions between people who live, work and recreate in the relatively narrow belt where the land meets the sea. Of course, the full extent of the interactions may be felt far away because rivers and canals link the hinterland with the coastal zone. This paper makes several contributions to the growing body of literature in the application of the tools used by sociologists to assess and evaluate the multi-faceted nature of the trends emerging from the growth and importance of maritime industries and related pursuits along the South China seacoast. Beginning with a very brief history ideas about the land/sea interactions and some analysis of examples of environmental determinism in practice. ","The study of sociology and its application to maritime industries and related pursuits along the South China Sea Coast explores the intricate interactions between people and their environment."
